Rk_passing,Year_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 7_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%_passing,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,Year_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 7_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds_rushing,TD,1D_rushing,YBC,YBC/R,YAC_rushing,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%_rushing,Int,Rat,,Graph Metrics,Graph Totals,,Metrics,Wilson Totals,Fields Totals,Leader
74,2022,12/11/2022,13,14,34.012,DEN,,KAN,L 28-34,23,36,247,9,21.4,161,4.5,77,3.3,2.1,170,7.4,3,8.60%,5,14.30%,6,11,0,2,8,17.80%,3,14.7,74,2022,13,14,34.012,DEN,,KAN,L 28-34,4,57,0,3,57,14.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
75,2022,12/25/2022,15,16,34.026,DEN,@,LAR,L 14-51,15,27,214,8,24.2,318,11.8,156,10.4,5.8,58,3.9,1,3.80%,4,15.40%,6,11,3,3,12,35.30%,1,15,75,2022,15,16,34.026,DEN,@,LAR,L 14-51,2,17,0,2,16,8,1,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
76,2022,1/1/2023,16,17,34.033,DEN,@,KAN,L 24-27,26,38,222,12,28.6,192,5.1,86,3.3,2.3,136,5.2,3,8.60%,1,2.90%,4,6,3,5,12,27.90%,1,4,76,2022,16,17,34.033,DEN,@,KAN,L 24-27,4,27,2,3,27,6.8,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
77,2022,1/8/2023,17,18,34.04,DEN,,LAC,W 31-28,13,24,283,8,30.8,316,13.2,191,14.7,8,92,7.1,0,0.00%,7,30.40%,2,12,1,2,5,17.20%,3,3,77,2022,17,18,34.04,DEN,,LAC,W 31-28,8,18,0,2,15,1.9,3,0.4,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
78,2023,9/10/2023,1,1,34.285,DEN,,LVR,L 16-17,27,34,177,11,30.6,137,4,99,3.7,2.9,78,2.9,0,0.00%,4,12.50%,2,10,2,0,4,10.80%,1,1,78,2023,1,1,34.285,DEN,,LVR,L 16-17,1,1,0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
79,2023,9/17/2023,2,2,34.292,DEN,,WAS,L 33-35,18,32,308,8,20.5,301,9.4,198,11,6.2,110,6.1,0,0.00%,7,25.90%,7,9,5,2,14,33.30%,3,12.7,79,2023,2,2,34.292,DEN,,WAS,L 33-35,6,56,0,6,55,9.2,1,0.2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
80,2023,9/24/2023,3,3,34.299,DEN,@,MIA,L 20-70,23,38,306,13,33.3,412,10.8,183,8,4.8,123,5.3,0,0.00%,6,16.70%,1,10,5,11,17,43.60%,0,,80,2023,3,3,34.299,DEN,@,MIA,L 20-70,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
81,2023,10/1/2023,4,4,34.306,DEN,@,CHI,W 31-28,21,28,223,9,31,179,6.4,86,4.1,3.1,137,6.5,1,3.80%,3,11.50%,1,10,0,2,3,9.70%,2,6,81,2023,4,4,34.306,DEN,@,CHI,W 31-28,4,13,0,2,12,3,1,0.3,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
82,2023,10/8/2023,5,5,34.313,DEN,,NYJ,L 21-31,20,31,196,10,28.6,176,5.7,48,2.4,1.5,148,7.4,1,3.60%,4,14.30%,4,5,3,3,10,24.40%,6,8.2,82,2023,5,5,34.313,DEN,,NYJ,L 21-31,7,49,0,2,49,7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
83,2023,10/12/2023,6,6,34.317,DEN,@,KAN,L 8-19,13,22,95,4,15.4,117,5.3,37,2.8,1.7,58,4.5,1,4.50%,1,4.50%,4,11,4,1,9,31.00%,3,9.7,83,2023,6,6,34.317,DEN,@,KAN,L 8-19,4,31,0,3,25,6.3,6,1.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
